starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	90
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	90
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	1	90	91	90
Thu Feb 11 18:30:04 2021	1613039404	1	91	91	90
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	91
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	90
Thu Feb 11 18:30:04 2021	1613039404	1	90	91	90
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	91
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	91
Thu Feb 11 18:30:05 2021	1613039405	0	91	91	91
Thu Feb 11 18:30:05 2021	1613039405	0	91	91	91
Thu Feb 11 18:30:05 2021	1613039405	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	90
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	91
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	84
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:05 2021	1613039405	0	91	91	89
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:05 2021	1613039405	0	91	91	87
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	89
Thu Feb 11 18:30:04 2021	1613039404	1	90	91	90
Thu Feb 11 18:30:04 2021	1613039404	0	91	91	91
Thu Feb 11 18:30:05 2021	1613039405	0	91	91	89
Thu Feb 11 18:30:03 2021	1613039403	0	91	91	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	92	91
Thu Feb 11 18:30:04 2021	1613039404	0	91	92	91
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	1	91	92	91
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	91
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	91
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	91
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	91
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	91
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	91
Thu Feb 11 18:30:02 2021	1613039402	12	80	92	80
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	91
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:02 2021	1613039402	13	79	92	79
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	91
Thu Feb 11 18:30:04 2021	1613039404	1	91	92	90
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	88
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	90
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	88
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	89
Thu Feb 11 18:30:02 2021	1613039402	12	81	92	81
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	89
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:02 2021	1613039402	13	80	92	79
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	2	91	92	91
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	92	89
Thu Feb 11 18:30:03 2021	1613039403	0	92	92	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	92	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	93	89
Thu Feb 11 18:30:04 2021	1613039404	0	92	93	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	93	92
Thu Feb 11 18:30:05 2021	1613039405	0	92	93	89
Thu Feb 11 18:30:04 2021	1613039404	0	92	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	92	93	89
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	90
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	92
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	89
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	90
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	92
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	89
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	91
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	91
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	91
Thu Feb 11 18:30:04 2021	1613039404	1	92	93	90
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:02 2021	1613039402	13	80	93	80
Thu Feb 11 18:30:04 2021	1613039404	1	92	93	92
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	1	92	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	92
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	1	92	93	90
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	89
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	91
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	92
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:02 2021	1613039402	13	81	93	81
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	90
Thu Feb 11 18:30:03 2021	1613039403	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	1	93	93	90
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:04 2021	1613039404	1	93	93	89
Thu Feb 11 18:30:04 2021	1613039404	0	93	93	93
Thu Feb 11 18:30:05 2021	1613039405	0	93	94	91
Thu Feb 11 18:30:05 2021	1613039405	0	93	94	93
Thu Feb 11 18:30:03 2021	1613039403	0	93	94	93
Thu Feb 11 18:30:04 2021	1613039404	0	93	94	92
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	91
Thu Feb 11 18:30:05 2021	1613039405	0	93	94	90
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	93	94	92
Thu Feb 11 18:30:04 2021	1613039404	0	93	94	93
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	93
Thu Feb 11 18:30:04 2021	1613039404	1	93	94	89
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	93
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	91
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	93
Thu Feb 11 18:30:02 2021	1613039402	11	82	94	82
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	93
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	91
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	93
Thu Feb 11 18:30:03 2021	1613039403	1	93	94	93
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	92
Thu Feb 11 18:30:03 2021	1613039403	1	93	94	93
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	93
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	93
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	93
Thu Feb 11 18:30:04 2021	1613039404	1	93	94	90
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	94
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	94
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	94
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	1	93	94	93
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	90
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	93
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	93
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	93
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	92
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	94
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	92
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	94
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	93
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	92
Thu Feb 11 18:30:04 2021	1613039404	0	94	94	94
Thu Feb 11 18:30:05 2021	1613039405	0	94	94	91
Thu Feb 11 18:30:02 2021	1613039402	12	82	94	82
Thu Feb 11 18:30:03 2021	1613039403	0	94	94	94
